markerId;markerLink;inUse
0;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/0.png;false
1;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/1.png;false
2;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/2.png;false
3;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/3.png;false
4;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/4.png;false
5;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/5.png;false
6;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/6.png;false
7;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/7.png;false
8;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/8.png;false
9;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/9.png;false
10;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/10.png;false
11;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/11.png;false
12;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/12.png;false
13;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/13.png;false
14;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/14.png;false
15;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/15.png;false
16;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/16.png;false
17;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/17.png;false
18;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/18.png;false
19;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/19.png;false
20;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/20.png;false
21;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/21.png;false
22;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/22.png;false
23;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/23.png;false
24;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/24.png;false
25;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/25.png;false
26;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/26.png;false
27;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/27.png;false
28;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/28.png;false
29;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/29.png;false
30;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/30.png;false
31;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/31.png;false
32;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/32.png;false
33;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/33.png;false
34;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/34.png;false
35;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/35.png;false
36;https://github.com/evij-g/artoolkit-barcode-markers-collection/blob/master/4x4_bch_13_9_3/36.png;false
